序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1431,桃園市,2018/12/26,觀音,2.1,0.21,-,32,-,8,5.99,0.53,5.42,-,-,-,3.99,3.66,19.24,0.5,3.97,98.68,109.5
1432,桃園市,2018/12/25,桃園,5.3,0.38,-,22.3,12,8,16.48,2.16,14.32,2.048,0.114,1.935,2.58,2.11,19.84,-,-,89.02,-
1433,桃園市,2018/12/25,中壢,3.4,0.77,-,17.9,21,18,39.82,16.17,23.65,2.205,0.266,1.939,1.13,0.56,20.66,-,-,87.5,-
1434,桃園市,2018/12/25,大園,3.8,0.21,-,36.3,22,8,15.47,4.45,11.02,-,-,-,5.19,5.06,20.28,-,-,90.38,-
1435,桃園市,2018/12/25,龍潭,2.3,0.34,-,27,21,10,18.06,3.48,14.58,-,-,-,2.69,2.34,19.52,-,-,93.28,-
1436,桃園市,2018/12/25,平鎮,2.7,0.4,-,26,20,9,19.07,2.94,16.15,-,-,-,2.54,2.14,20.18,-,-,89.92,-
1437,桃園市,2018/12/25,觀音,4.4,0.2,-,34.9,-,13,8.1,1.43,6.67,-,-,-,5.14,4.61,19.93,0,0,94.95,0
1438,桃園市,2018/12/24,桃園,3.8,0.37,-,29.6,8,6,14.11,3.03,11.07,2.042,0.094,1.948,3.35,2.81,16.09,-,-,88.84,-
1439,桃園市,2018/12/24,中壢,2.8,0.71,-,26.5,11,14,34.07,15.03,19.03,2.145,0.207,1.938,1.69,0.74,16.96,-,-,86.76,-
1440,桃園市,2018/12/24,大園,4,0.27,-,39.5,18,6,16.3,3.99,12.3,-,-,-,6.25,5.93,16.78,-,-,90.15,-
1441,桃園市,2018/12/24,龍潭,1.5,0.3,-,39.5,10,4,9.93,2.28,7.66,-,-,-,6.58,6.11,16.09,-,-,91.18,-
1442,桃園市,2018/12/24,平鎮,2.2,0.36,-,35.6,11,6,13.42,1.79,11.64,-,-,-,4.25,3.72,16.74,-,-,87.44,-
1443,桃園市,2018/12/24,觀音,3.2,0.21,-,37.3,19,12,8.65,0.61,8.02,-,-,-,7.23,6.55,16.93,3.15,4.74,93,72.78
1444,桃園市,2018/12/23,桃園,3.4,0.54,-,17.8,19,16,21.13,3.8,17.33,2.189,0.152,2.037,2.08,1.83,19.22,-,-,89.93,-
1445,桃園市,2018/12/23,中壢,3.6,0.67,-,14,28,26,40.7,14.71,25.99,2.215,0.203,2.013,1.3,0.73,19.79,-,-,90.42,-
1446,桃園市,2018/12/23,大園,2.1,0.29,-,37.3,30,14,11.85,2.27,9.58,-,-,-,7.08,6.29,19.42,-,-,97.56,-
1447,桃園市,2018/12/23,龍潭,2.5,0.42,-,27.8,37,17,14.77,1.42,13.32,-,-,-,5.09,4.55,19.18,-,-,93.23,-
1448,桃園市,2018/12/23,平鎮,3.7,0.45,-,23.9,30,18,18.5,2.27,16.23,-,-,-,2.9,2.62,19.29,-,-,92.93,-
1449,桃園市,2018/12/23,觀音,4.3,0.28,-,34.5,30,15,8.97,1.26,7.72,-,-,-,6.95,6.21,19.39,2.29,4.33,97.58,69.11
1450,桃園市,2018/12/22,桃園,8.9,0.69,-,23.4,70,41,34.1,8.85,25.24,2.502,0.301,2.201,1.17,0.86,21.25,-,-,83.27,-
1451,桃園市,2018/12/22,中壢,4.9,1.17,-,19.2,80,60,59.2,26.04,33.16,2.493,0.418,2.075,0.79,0.45,22.08,-,-,82.95,-
1452,桃園市,2018/12/22,大園,4,0.42,-,32.1,66,30,25.59,7.26,18.45,-,-,-,2.46,2.12,21.34,-,-,89.68,-
1453,桃園市,2018/12/22,龍潭,4.8,0.55,-,34,85,39,23.68,4.43,19.24,-,-,-,1.45,1.19,20.99,-,-,84.98,-
1454,桃園市,2018/12/22,平鎮,4.8,0.56,-,30.5,83,44,24.29,3.91,20.39,-,-,-,1.28,1,21.39,-,-,86.05,-
1455,桃園市,2018/12/22,觀音,4.7,0.36,-,30.6,77,40,15.49,2.19,13.34,-,-,-,2.05,1.81,21,0,0,93.2,0
1456,桃園市,2018/12/21,桃園,8.6,0.69,-,16.2,51,27,36.97,7.82,29.15,2.451,0.302,2.15,1.86,1.48,21.28,-,-,74.69,-
1457,桃園市,2018/12/21,中壢,5,1.34,-,11.7,56,42,70.85,33.56,37.29,2.69,0.586,2.104,0.93,0.51,21.71,-,-,76.11,-
1458,桃園市,2018/12/21,大園,3.5,0.42,-,31.3,51,23,32.02,8.84,23.18,-,-,-,4.35,4.1,20.81,-,-,81,-
1459,桃園市,2018/12/21,龍潭,3,0.53,-,21.6,58,29,28.61,5.12,23.49,-,-,-,1.75,1.62,20.25,-,-,80.26,-
1460,桃園市,2018/12/21,平鎮,4.7,0.66,-,18.8,59,35,41.03,10.02,31.01,-,-,-,1.75,1.57,20.88,-,-,78.88,-
1461,桃園市,2018/12/21,觀音,5.7,0.37,-,33.2,56,35,18.51,2.15,16.36,-,-,-,3.71,3.4,20.56,0,0,90.25,0
1462,桃園市,2018/12/20,桃園,11.4,0.82,-,21.9,63,33,44.13,7.39,36.72,2.529,0.361,2.168,1.11,0.81,19.38,-,-,67.58,-
1463,桃園市,2018/12/20,中壢,4.8,1.31,-,20.2,57,35,75.9,33.41,42.49,2.59,0.522,2.068,0.96,0.58,21.13,-,-,61.05,-
1464,桃園市,2018/12/20,大園,4.6,0.55,-,35.3,66,36,38.29,7.39,30.9,-,-,-,2.31,2.15,19.98,-,-,68.05,-
1465,桃園市,2018/12/20,龍潭,2.8,0.5,-,36.2,54,29,29.94,3.92,26.02,-,-,-,1.72,1.65,20.3,-,-,60.03,-
1466,桃園市,2018/12/20,平鎮,4.8,0.72,-,30,60,33,42.26,8.57,33.69,-,-,-,1.23,0.99,20.62,-,-,60.79,-
1467,桃園市,2018/12/20,觀音,3.7,0.45,-,41.5,69,48,22.54,1.92,20.62,-,-,-,2.17,2,19.91,0,0,71.5,0
1468,桃園市,2018/12/19,桃園,8.7,0.75,-,37.6,72,30,35.57,5.92,29.65,2.418,0.303,2.115,1.39,1.12,18.34,-,-,65.9,-
1469,桃園市,2018/12/19,中壢,6.4,1.54,-,30,78,51,83.56,39.61,43.95,2.695,0.606,2.089,0.97,0.67,19.27,-,-,61.83,-
1470,桃園市,2018/12/19,大園,6.7,0.58,-,52.8,78,44,31.99,4.02,27.97,-,-,-,2.36,2.11,18.87,-,-,64.25,-
1471,桃園市,2018/12/19,龍潭,2.3,0.55,-,44.3,71,35,30.91,5.1,25.84,-,-,-,1.15,0.89,17.48,-,-,63.75,-
1472,桃園市,2018/12/19,平鎮,4.4,0.73,-,40.1,74,38,37.69,4.58,33.1,-,-,-,1.18,0.89,18.48,-,-,61.3,-
1473,桃園市,2018/12/19,觀音,6.6,0.54,-,47.5,86,58,27.05,2.51,24.55,-,-,-,1.69,1.54,18.05,0,0,70.7,0
1474,桃園市,2018/12/18,桃園,3.7,0.44,-,37.6,46,15,18.37,2.61,15.76,2.146,0.135,2.011,2.84,2.32,15.98,-,-,60.41,-
1475,桃園市,2018/12/18,中壢,4.3,1.02,-,27.8,45,27,56.43,23.45,32.97,2.327,0.343,1.983,1.36,0.75,17.7,-,-,54.34,-
1476,桃園市,2018/12/18,大園,2.7,0.37,-,40.2,47,17,-,-,-,-,-,-,4.51,4.1,17.2,-,-,53.49,-
1477,桃園市,2018/12/18,龍潭,2.8,0.38,-,45.9,50,19,16.22,2,14.24,-,-,-,3.74,3.43,16.04,-,-,57.72,-
1478,桃園市,2018/12/18,平鎮,4.3,0.46,-,44.4,44,16,18.93,1.9,17.01,-,-,-,3.4,3.26,17.2,-,-,52.88,-
1479,桃園市,2018/12/18,觀音,6.1,0.36,-,40,49,26,21.07,1.63,19.43,-,-,-,4.63,4.42,16.64,0,0,56.48,0
1480,桃園市,2018/12/17,桃園,3.8,0.56,-,34.4,48,16,16.93,2.93,14.01,2.166,0.131,2.034,2.38,2.11,14.74,-,-,66.11,-
1481,桃園市,2018/12/17,中壢,2.7,0.95,-,24.7,49,23,47.03,16.87,30.16,2.3,0.281,2.019,1.32,0.77,16.1,-,-,64.3,-
1482,桃園市,2018/12/17,大園,3.1,0.41,-,43.7,47,17,-,-,-,-,-,-,5.36,5.19,15.63,-,-,60.85,-
1483,桃園市,2018/12/17,龍潭,2.5,0.46,-,40.5,45,17,14.91,2.6,12.32,-,-,-,3.8,3.57,14.6,-,-,71.88,-
1484,桃園市,2018/12/17,平鎮,3,0.5,-,38.5,48,16,19.71,1.91,17.78,-,-,-,3.28,2.91,15.59,-,-,64.81,-
1485,桃園市,2018/12/17,觀音,4.4,0.39,-,41.6,49,28,12.82,1.14,11.68,-,-,-,5.36,4.98,15.44,0,0,63.02,0
1486,桃園市,2018/12/16,桃園,2.7,0.39,-,20.2,33,9,17.93,3.47,14.46,2.154,0.132,2.023,1.54,1.3,18.4,-,-,83.97,-
1487,桃園市,2018/12/16,中壢,1.5,0.78,-,12.7,35,21,45.49,20.13,25.36,2.249,0.242,2.008,0.94,0.52,19.61,-,-,81.81,-
1488,桃園市,2018/12/16,大園,2,0.31,-,28.9,28,10,12.96,1.29,11.67,-,-,-,3.78,3.48,19.23,-,-,82.78,-
1489,桃園市,2018/12/16,龍潭,2.4,0.41,-,22.7,37,16,16.66,2.44,14.22,-,-,-,2,1.71,18.5,-,-,86.41,-
1490,桃園市,2018/12/16,平鎮,2.8,0.4,-,20.7,34,14,21.65,3.29,18.36,-,-,-,1.53,1.21,19,-,-,84.81,-
1491,桃園市,2018/12/16,觀音,4,0.28,-,25.2,30,18,12.14,0.91,11.2,-,-,-,2.75,2.43,19.08,0,0,86.22,0
1492,桃園市,2018/12/15,桃園,3.2,0.35,-,28.7,16,8,11.96,1.78,10.17,2.011,0.083,1.929,3.44,2.94,18.26,-,-,81.14,-
1493,桃園市,2018/12/15,中壢,3.4,0.95,-,21.1,17,13,44.68,23.45,21.23,2.2,0.264,1.935,1.54,0.76,20,-,-,76.96,-
1494,桃園市,2018/12/15,大園,3,0.26,-,34.1,16,7,16.98,3.33,13.65,-,-,-,4.43,4.26,19.88,-,-,75.02,-
1495,桃園市,2018/12/15,龍潭,1.8,0.3,-,32.4,15,6,13.24,1.96,11.27,-,-,-,4.26,4,18.68,-,-,82,-
1496,桃園市,2018/12/15,平鎮,1.6,0.36,-,32.5,15,7,13.79,2.31,11.48,-,-,-,3.74,3.41,19.44,-,-,79.1,-
1497,桃園市,2018/12/15,觀音,2.5,0.24,-,31.1,23,15,11.52,0.98,10.52,-,-,-,5.37,5.08,19.67,0,0,79.5,0
1498,桃園市,2018/12/14,桃園,4.4,0.39,-,27.8,17,8,14.9,2.57,12.33,2.035,0.093,1.943,3.47,3.02,16.42,-,-,86.72,-
1499,桃園市,2018/12/14,中壢,3.3,0.74,-,25.3,18,20,35.02,15.01,20,2.148,0.224,1.925,1.8,0.66,17.97,-,-,82.65,-
1500,桃園市,2018/12/14,大園,5.1,0.26,-,36.5,22,10,20.25,4.82,15.42,-,-,-,6.11,5.62,17.4,-,-,85.5,-
1501,桃園市,2018/12/14,龍潭,1.8,0.27,-,36.5,14,7,11.57,2.04,9.53,-,-,-,6.42,5.99,16.82,-,-,89.06,-
1502,桃園市,2018/12/14,平鎮,2.5,0.34,-,33.9,15,13,15.04,2.61,12.43,-,-,-,4.35,3.96,17.59,-,-,84.24,-
1503,桃園市,2018/12/14,觀音,2.7,0.24,-,37.2,27,19,8.14,0.82,7.31,-,-,-,7.71,6.81,17.33,0.5,5.17,87.22,290.7
1504,桃園市,2018/12/13,桃園,3.7,0.53,-,23,21,13,18.32,4.07,14.26,2.124,0.127,1.997,2.77,2.45,15.88,-,-,84.56,-
1505,桃園市,2018/12/13,中壢,3,0.74,-,19.3,29,22,36,14.58,21.42,2.208,0.234,1.974,1.7,0.85,17.17,-,-,81.11,-
1506,桃園市,2018/12/13,大園,4.3,0.34,-,31.9,22,11,18.2,4.85,13.35,-,-,-,6.27,5.81,16.8,-,-,83.47,-
1507,桃園市,2018/12/13,龍潭,2.8,0.36,-,32,21,12,11.88,1.9,9.99,-,-,-,5.55,5.18,16.05,-,-,86.75,-
1508,桃園市,2018/12/13,平鎮,2.4,0.5,-,25.6,24,12,18.97,3.71,15.27,-,-,-,3.45,3.09,16.7,-,-,83.2,-
1509,桃園市,2018/12/13,觀音,2.7,0.33,-,31.7,27,21,8.91,0.45,8.44,-,-,-,6.91,6.36,17.01,0,0,85.12,0
1510,桃園市,2018/12/12,桃園,2.6,0.56,-,20.7,23,12,18.46,3.98,14.47,2.115,0.126,1.989,2.72,2.58,14.2,-,-,83.67,-
1511,桃園市,2018/12/12,中壢,2.2,0.79,-,16.8,35,25,38.6,18.56,20.04,2.23,0.243,1.987,1.77,1,15.21,-,-,82.23,-
1512,桃園市,2018/12/12,大園,3.2,0.39,-,29.9,33,14,19.43,6.11,13.32,-,-,-,7.05,6.68,15.13,-,-,82.91,-
1513,桃園市,2018/12/12,龍潭,3.1,0.43,-,29.4,25,11,12.12,2.17,9.95,-,-,-,6.02,5.73,14.25,-,-,89.48,-
1514,桃園市,2018/12/12,平鎮,2.5,0.54,-,23.3,30,18,19.79,2.73,17.06,-,-,-,3.65,3.25,14.82,-,-,83.94,-
1515,桃園市,2018/12/12,觀音,3.3,0.37,-,29.1,35,26,8.8,0.47,8.39,-,-,-,7.53,6.73,15.46,0,0,83.33,0
1516,桃園市,2018/12/11,桃園,4.4,0.43,-,15.5,20,9,19.29,3.22,16.08,2.193,0.154,2.038,2.27,1.95,18.16,-,-,89.77,-
1517,桃園市,2018/12/11,中壢,2.4,0.59,-,11.8,23,19,37.3,15.89,21.41,2.153,0.203,1.95,1.24,0.77,19.03,-,-,91.22,-
1518,桃園市,2018/12/11,大園,2.3,0.21,-,28.6,15,7,16,5.16,10.85,-,-,-,6.55,6.08,19.03,-,-,96.12,-
1519,桃園市,2018/12/11,龍潭,2.5,0.34,-,18.6,21,9,16.53,2.73,13.8,-,-,-,2.85,2.44,18.24,-,-,96.96,-
1520,桃園市,2018/12/11,平鎮,2.6,0.34,-,18.6,20,8,21.17,4.07,17.11,-,-,-,2.66,2.46,18.56,-,-,93.88,-
1521,桃園市,2018/12/11,觀音,2.7,0.24,-,27,21,11,8.4,0.66,7.72,-,-,-,5.62,4.97,18.96,0.5,4.08,95.79,131.58
1522,桃園市,2018/12/10,桃園,3.3,0.48,-,15.7,14,6,20.82,5.1,15.73,2.155,0.157,1.999,2.08,1.79,19.13,-,-,90.32,-
1523,桃園市,2018/12/10,中壢,2.1,0.7,-,11.8,18,10,42.17,19.13,23.04,2.21,0.263,1.947,1.3,0.76,19.95,-,-,90.11,-
1524,桃園市,2018/12/10,大園,2,0.2,-,33.1,11,3,12.99,4.17,8.82,-,-,-,7.21,6.56,19.98,-,-,97.6,-
1525,桃園市,2018/12/10,龍潭,3.4,0.31,-,23.9,13,6,13.77,2.18,11.6,-,-,-,3.5,3.04,19.13,-,-,95.16,-
1526,桃園市,2018/12/10,平鎮,2.7,0.36,-,19.5,15,6,22.26,3.95,18.31,-,-,-,3.06,2.73,19.41,-,-,92.95,-
1527,桃園市,2018/12/10,觀音,2.6,0.2,-,30.4,16,7,4.24,0.53,3.69,-,-,-,6.45,5.98,19.74,0.5,5.31,96.88,166.5
1528,桃園市,2018/12/09,桃園,3,0.32,-,25.5,6,4,10.65,2.17,8.48,2.011,0.069,1.942,2.87,2.65,16.88,-,-,86.75,-
1529,桃園市,2018/12/09,中壢,2.2,0.55,-,21.2,9,5,28.66,13.26,15.4,2.055,0.146,1.909,1.68,0.69,18.19,-,-,83.64,-
1530,桃園市,2018/12/09,大園,3.6,0.21,-,32.5,9,5,15.83,3.71,12.14,-,-,-,6.54,6,17.7,-,-,90.73,-
1531,桃園市,2018/12/09,龍潭,1.1,0.22,-,33.8,6,3,6.87,1.29,5.56,-,-,-,6.61,6.19,16.98,-,-,89.95,-
1532,桃園市,2018/12/09,平鎮,2.2,0.28,-,29.1,6,4,11.84,1.21,10.63,-,-,-,4.05,3.54,17.78,-,-,85.15,-
1533,桃園市,2018/12/09,觀音,2.4,0.22,-,32,11,8,5.16,0.77,4.37,-,-,-,7.55,6.78,17.57,0.5,4.93,91.35,151.47
1534,桃園市,2018/12/08,桃園,3.2,0.33,-,25.1,9,5,12.25,3.1,9.15,2.02,0.076,1.944,3.33,2.91,17.06,-,-,82.88,-
1535,桃園市,2018/12/08,中壢,1.8,0.58,-,21.5,12,9,30.14,13.34,16.8,2.088,0.173,1.915,1.89,0.81,18.44,-,-,79.86,-
1536,桃園市,2018/12/08,大園,3.9,0.21,-,32.5,10,4,16.52,5.15,11.36,-,-,-,7.53,6.85,17.5,-,-,87.72,-
1537,桃園市,2018/12/08,龍潭,2.2,0.23,-,33.3,9,4,8.9,2.49,6.41,-,-,-,7.33,6.69,17.16,-,-,86.18,-
1538,桃園市,2018/12/08,平鎮,2.1,0.32,-,28.8,10,5,14.81,2.67,12.14,-,-,-,4.23,3.81,17.98,-,-,81.32,-
1539,桃園市,2018/12/08,觀音,4.3,0.19,-,32,11,8,5.89,0.59,5.25,-,-,-,8.27,7.53,17.42,0.5,4.5,88.37,121.9
1540,桃園市,2018/12/07,桃園,2.8,0.43,-,24.3,9,5,15.29,2.84,12.46,2.069,0.119,1.95,2.83,2.51,17.64,-,-,84.29,-
1541,桃園市,2018/12/07,中壢,2.7,0.77,-,18.7,14,13,37.89,17.04,20.85,2.173,0.233,1.94,1.62,0.7,18.93,-,-,82.22,-
1542,桃園市,2018/12/07,大園,3.6,0.27,-,34.5,11,6,18.04,5.86,12.19,-,-,-,7.27,6.68,18.03,-,-,89.5,-
1543,桃園市,2018/12/07,龍潭,2.3,0.25,-,34.6,10,5,11.39,2.51,8.88,-,-,-,6.32,6,17.89,-,-,86.08,-
1544,桃園市,2018/12/07,平鎮,1.3,0.38,-,26.8,13,8,19.76,3.13,16.63,-,-,-,3.47,3.29,18.53,-,-,83.49,-
1545,桃園市,2018/12/07,觀音,4.1,0.24,-,33.4,13,10,7.62,0.61,7.02,-,-,-,7.91,6.96,18.03,2,4.04,89.36,33.45
1546,桃園市,2018/12/06,桃園,7.6,0.64,-,18.1,8,14,31.18,8.28,22.9,2.391,0.26,2.131,1.51,1.23,21.93,-,-,81.6,-
1547,桃園市,2018/12/06,中壢,4.5,1.2,-,9.2,45,18,62.55,31.24,31.31,2.562,0.468,2.094,0.94,0.48,23.31,-,-,80.28,-
1548,桃園市,2018/12/06,大園,3.2,0.36,-,28.6,36,12,24.58,6.84,17.74,-,-,-,4.25,3.69,22.19,-,-,87,-
1549,桃園市,2018/12/06,龍潭,3.4,0.49,-,23.9,37,16,24.9,7.02,17.88,-,-,-,1.81,1.66,22.35,-,-,81.56,-
1550,桃園市,2018/12/06,平鎮,5.1,0.6,-,18.5,45,15,36.24,9.53,26.71,-,-,-,1.72,1.41,22.44,-,-,83.96,-
1551,桃園市,2018/12/06,觀音,6.4,0.3,-,29.1,49,19,15.71,2.19,13.53,-,-,-,3.67,3.23,22.1,2.25,3.97,90.96,27.4
1552,桃園市,2018/12/05,桃園,3.7,0.54,-,25.8,7,11,16.66,2.39,14.26,2.142,0.138,2.004,2.79,2.38,21.18,-,-,80.18,-
1553,桃園市,2018/12/05,中壢,3,1.06,-,17.1,35,14,44.51,20.27,24.24,2.312,0.322,1.99,1.4,0.65,22.47,-,-,78.52,-
1554,桃園市,2018/12/05,大園,3.9,0.36,-,32.2,35,12,26.07,6.75,19.33,-,-,-,5.45,5.04,21.85,-,-,79.68,-
1555,桃園市,2018/12/05,龍潭,2.4,0.43,-,32.9,32,12,14.74,2.06,12.68,-,-,-,4.03,3.71,21.03,-,-,84.63,-
1556,桃園市,2018/12/05,平鎮,2.9,0.56,-,29.4,34,12,19.62,1.89,17.72,-,-,-,3.11,2.91,21.94,-,-,80.48,-
1557,桃園市,2018/12/05,觀音,6.5,0.35,-,32.7,48,20,14.18,0.87,13.33,-,-,-,5.78,5.27,21.68,0,0,85.12,0
1558,桃園市,2018/12/04,桃園,8.1,0.58,-,13.1,19,20,36.38,10.12,26.26,2.386,0.299,2.088,1.31,0.99,22.74,-,-,69.91,-
1559,桃園市,2018/12/04,中壢,2.6,0.97,-,9.4,38,16,55.4,27.97,27.43,2.332,0.373,1.959,0.94,0.57,24.4,-,-,67.98,-
1560,桃園市,2018/12/04,大園,2,0.4,-,21.6,37,19,26.92,7.29,19.64,-,-,-,3.49,3.12,23.65,-,-,69.84,-
1561,桃園市,2018/12/04,龍潭,3.8,0.42,-,22.1,35,21,23.52,6.86,16.66,-,-,-,1.8,1.55,23.25,-,-,69.05,-
1562,桃園市,2018/12/04,平鎮,3.9,0.42,-,17.3,39,19,27.22,6.68,20.54,-,-,-,1.44,1.26,23.76,-,-,71.13,-
1563,桃園市,2018/12/04,觀音,3.6,0.33,-,20.8,40,24,22.76,6.18,16.59,-,-,-,2.44,2.06,24,0,0,74.43,0
1564,桃園市,2018/12/03,桃園,13,0.81,-,18.1,57,45,48.9,13.34,35.56,2.639,0.416,2.223,1.02,0.78,21.75,-,-,74.24,-
1565,桃園市,2018/12/03,中壢,5,1.24,-,18.1,72,34,68.66,34.91,33.75,2.549,0.504,2.045,0.83,0.53,23.33,-,-,71.65,-
1566,桃園市,2018/12/03,大園,6,0.49,-,32.1,85,50,-,-,-,-,-,-,1.84,1.53,21.99,-,-,86.58,-
1567,桃園市,2018/12/03,龍潭,4.3,0.48,-,27.6,48,31,29.07,6.94,22.12,-,-,-,1.25,1.02,22.38,-,-,67.58,-
1568,桃園市,2018/12/03,平鎮,3.8,0.6,-,26.7,67,39,37.81,9.43,28.38,-,-,-,0.98,0.65,22.65,-,-,74.31,-
1569,桃園市,2018/12/03,觀音,5.5,0.4,-,29.3,89,54,22.54,3.01,19.54,-,-,-,1.18,0.99,21.44,0,0,89.63,0
1570,桃園市,2018/12/02,桃園,6.4,0.5,-,29.2,42,31,25.97,3.52,22.45,2.3,0.195,2.105,1.14,0.82,21.91,-,-,71.49,-
1571,桃園市,2018/12/02,中壢,2.4,1.12,-,21.1,61,22,52.28,23.13,29.15,2.415,0.389,2.026,0.99,0.61,23.06,-,-,68.16,-
1572,桃園市,2018/12/02,大園,5.3,0.45,-,41,56,31,22.44,4.92,17.52,-,-,-,2.25,1.98,22.11,-,-,74.43,-
1573,桃園市,2018/12/02,龍潭,2.5,0.4,-,39.2,51,36,16.05,2.92,13.12,-,-,-,1.36,1.12,21.75,-,-,70.37,-
1574,桃園市,2018/12/02,平鎮,3,0.44,-,37.8,54,26,18.64,2.65,15.99,-,-,-,1.1,0.9,22.28,-,-,71.14,-
1575,桃園市,2018/12/02,觀音,6.3,0.39,-,38.9,71,47,16.9,1.61,15.29,-,-,-,1.55,1.3,21.5,0,0,80.95,0
1576,桃園市,2018/12/01,桃園,9.2,0.64,-,27.3,51,32,31.67,5.35,26.32,2.411,0.275,2.136,1.26,0.79,21.38,-,-,72.86,-
1577,桃園市,2018/12/01,中壢,3.3,1.16,-,22,72,28,57.89,24.67,33.22,2.477,0.428,2.049,0.88,0.53,22.78,-,-,73.66,-
1578,桃園市,2018/12/01,大園,4.8,0.48,-,36.6,56,30,31.6,8.31,23.28,-,-,-,2.57,2.32,21.99,-,-,73.88,-
1579,桃園市,2018/12/01,龍潭,3.4,0.44,-,42.8,69,43,19.99,2.27,17.74,-,-,-,1.4,1.25,21.53,-,-,76.7,-
1580,桃園市,2018/12/01,平鎮,3.8,0.58,-,36.5,72,39,26.57,2.57,24,-,-,-,1.19,0.93,22.08,-,-,76.74,-
1581,桃園市,2018/12/01,觀音,4.7,0.44,-,36.9,76,45,20.89,1.17,19.72,-,-,-,1.87,1.62,21.84,0,0,82.69,0
1582,新竹縣,2018/12/31,竹東,1.5,0.22,-,30.2,5,6,5.32,1,4.3,-,-,-,2.19,1.18,18.32,-,-,80.2,-
1583,新竹縣,2018/12/31,湖口,1.5,0.17,-,36,11,5,6.02,0.87,5.14,-,-,-,6.96,6.5,15.24,-,-,83.72,-
1584,新竹縣,2018/12/30,竹東,1.6,0.21,-,32.5,8,6,4.54,0.85,3.69,-,-,-,2.51,1.63,17.43,-,-,73.24,-
1585,新竹縣,2018/12/30,湖口,1.1,0.24,-,37.8,15,8,5.74,1.34,4.4,-,-,-,8.08,7.48,15.12,-,-,74.47,-
1586,新竹縣,2018/12/29,竹東,1.5,0.22,-,33.9,15,9,4.63,2.35,2.27,-,-,-,2.98,1.24,15.17,-,-,71.49,-
1587,新竹縣,2018/12/29,湖口,1.5,0.29,-,37.1,22,10,5.04,0.94,4.08,-,-,-,8.33,7.9,12.93,-,-,71.55,-
1588,新竹縣,2018/12/28,竹東,1.8,0.26,-,34.3,11,7,3.9,0.35,3.58,-,-,-,3.05,1.14,16.67,-,-,73.66,-
1589,新竹縣,2018/12/28,湖口,1.3,0.29,-,38.5,20,8,5.06,1.04,4.02,-,-,-,8.06,7.6,14.16,-,-,74.06,-
1590,新竹縣,2018/12/27,竹東,0.9,0.28,-,28.5,11,8,7.45,0.97,6.5,-,-,-,1.99,1,18.45,-,-,85.63,-
1591,新竹縣,2018/12/27,湖口,0.8,0.27,-,37.9,19,7,6.87,1.23,5.64,-,-,-,6.21,5.68,16.03,-,-,83.44,-
1592,新竹縣,2018/12/26,竹東,1.6,0.28,-,19.3,16,10,13.77,2.01,11.75,-,-,-,0.94,0.65,21.18,-,-,91.58,-
1593,新竹縣,2018/12/26,湖口,1.6,0.2,-,32.5,15,8,9.18,1.22,7.97,-,-,-,3.27,3.02,18.72,-,-,88.87,-
1594,新竹縣,2018/12/25,竹東,2.2,0.34,-,14.1,24,15,15.76,3.19,12.57,-,-,-,0.96,0.78,21.61,-,-,87.76,-
1595,新竹縣,2018/12/25,湖口,2.3,0.25,-,35.4,22,7,9.97,1.21,8.74,-,-,-,4.04,3.8,20.02,-,-,83.12,-
1596,新竹縣,2018/12/24,竹東,1.6,0.28,-,30.4,7,6,8.26,1.14,7.12,-,-,-,2.13,1.23,19.15,-,-,80.3,-
1597,新竹縣,2018/12/24,湖口,1.6,0.26,-,40.9,12,6,8,0.8,7.18,-,-,-,6.98,6.59,16.35,-,-,82.88,-
1598,新竹縣,2018/12/23,竹東,1.1,0.37,-,21.7,32,18,8.35,0.9,7.51,-,-,-,2.06,1.12,21.46,-,-,85.52,-
1599,新竹縣,2018/12/23,湖口,1.7,0.29,-,35.8,29,14,8.6,1.3,7.3,-,-,-,6.32,5.94,19.14,-,-,87.01,-
1600,新竹縣,2018/12/22,竹東,2.6,0.42,-,24.2,57,36,17.23,2.61,14.61,-,-,-,1.21,1.03,22.74,-,-,78.81,-
1601,新竹縣,2018/12/22,湖口,2.4,0.38,-,37.2,73,34,13.03,1.31,11.74,-,-,-,2.21,2,21.64,-,-,81.17,-
1602,新竹縣,2018/12/21,竹東,2.9,0.44,-,20.5,50,25,19.4,3.93,15.47,-,-,-,1.14,0.97,21.93,-,-,79.39,-
1603,新竹縣,2018/12/21,湖口,4.1,0.53,-,27.3,60,29,29.9,7.61,22.3,-,-,-,2.79,2.48,20.33,-,-,80.4,-
